Nf,time_s,final_loss
1000,12.182317972183228,9.307550983564934e-05
1473,11.958704233169556,0.00015330403506774184
1947,11.483052968978882,2.7832741261372464e-05
2421,12.122824430465698,0.0030225628241452142
2894,12.088550329208374,0.0001617370935279496
3368,11.913471937179565,0.00016341599815465754
3842,12.539176940917969,0.0006603689847226908
4315,12.633168697357178,6.637231217063877e-05
4789,13.338338375091553,0.00014385077560634166
5263,13.743266344070435,2.1662225553105097e-05
5736,14.16030216217041,0.0008239107789071823
6210,14.943270921707153,0.0012401435840225356
6684,15.407887697219849,0.00012089201738646382
7157,16.198957681655884,2.8850305247146376e-05
7631,16.611092567443848,0.00020734977340056073
8105,17.647919416427612,0.001591052974873835
8578,18.49726891517639,0.00014685044733700708
9052,19.324299573898315,0.0004556697887618742
9526,20.026159524917603,1.8762773745773085e-05
10000,19.861801624298096,4.9825058713921974e-05
